Date,Open,High,Low,Close,Volume,Adj Close
2015-09-18,75.550003,76.50,75.010002,75.440002,7175000,75.440002
2015-09-17,76.580002,77.760002,76.00,76.43,2940300,76.43
2015-09-16,75.199997,76.709999,74.300003,76.370003,2302800,76.370003
2015-09-15,74.940002,75.519997,73.754997,75.389999,2955300,75.389999
2015-09-14,73.50,74.709999,72.555,74.550003,2927400,74.550003
2015-09-11,72.25,73.93,71.599998,73.760002,2144000,73.760002
2015-09-10,72.129997,73.050003,71.779999,72.160004,3613800,72.160004
2015-09-09,74.449997,74.50,71.980003,72.169998,2926300,72.169998
2015-09-08,71.849998,74.330002,70.809998,74.07,4437200,74.07
2015-09-04,71.139999,71.690002,70.128998,70.57,2997000,70.57
2015-09-03,72.559998,73.889999,71.790001,72.160004,2572300,72.160004
2015-09-02,70.839996,72.07,70.309998,72.07,2737500,72.07
2015-09-01,71.230003,72.540001,69.639999,70.120003,4671400,70.120003
2015-08-31,74.209999,74.43,72.57,72.660004,2688400,72.660004
2015-08-28,74.400002,75.190002,73.82,74.690002,2150100,74.690002
2015-08-27,73.169998,75.25,73.120003,75.18,5937800,75.18
2015-08-26,71.720001,74.110001,69.529999,73.910004,5219000,73.910004
2015-08-25,71.540001,72.400002,70.00,70.209999,4416800,70.209999
2015-08-24,68.239998,72.239998,61.419998,70.870003,9000900,70.870003
2015-08-21,73.309998,74.25,72.260002,72.269997,5504600,72.269997
2015-08-20,74.019997,74.764,73.779999,74.25,2168000,74.25
2015-08-19,75.00,75.290001,73.919998,74.779999,3025700,74.779999
2015-08-18,75.720001,75.953003,75.059998,75.190002,1999700,75.190002
2015-08-17,75.860001,76.410004,75.510002,75.800003,2251000,75.800003
2015-08-14,76.07,76.739998,75.116997,76.419998,2572800,76.419998
2015-08-13,77.010002,77.07,75.800003,75.989998,2914700,75.989998
2015-08-12,77.830002,78.309998,76.089996,76.690002,3688800,76.690002
2015-08-11,77.629997,80.480003,77.07,77.970001,3679600,77.970001
2015-08-10,79.43,79.800003,78.57,78.809998,3219700,78.809998
2015-08-07,79.139999,79.379997,77.290001,78.459999,3266800,78.459999
2015-08-06,81.050003,81.190002,79.510002,79.760002,3666800,79.760002
2015-08-05,80.010002,81.00,79.849998,80.480003,4324300,80.480003
2015-08-04,80.57,81.00,79.669998,79.809998,2412800,79.809998
2015-08-03,80.00,81.029999,79.910004,80.370003,2673300,80.370003
2015-07-31,79.940002,79.940002,78.864998,79.470001,2684000,79.470001
2015-07-30,78.209999,79.690002,77.599998,79.209999,3223500,79.209999
2015-07-29,78.260002,78.300003,77.00,77.910004,2227000,77.910004
2015-07-28,78.440002,78.650002,77.50,78.32,1866900,78.32
2015-07-27,76.629997,77.980003,76.290001,77.379997,5760800,77.379997
2015-07-24,76.919998,77.43,75.949997,76.410004,3116000,76.410004
2015-07-23,78.419998,78.57,76.639999,76.739998,2975400,76.739998
2015-07-22,80.830002,80.900002,78.580002,78.639999,5201200,78.09
2015-07-21,79.970001,80.68,79.400002,80.220001,6088600,79.658951
2015-07-20,79.949997,81.199997,79.129997,80.110001,10284500,79.54972
2015-07-17,79.43,79.690002,77.260002,79.629997,6100900,79.073074
2015-07-16,76.970001,78.839996,76.949997,78.75,5634100,78.199231
2015-07-15,77.650002,78.169998,76.400002,76.709999,6330500,76.173498
2015-07-14,79.449997,79.50,77.650002,78.00,18746100,77.454477
2015-07-13,79.50,79.699997,77.910004,78.830002,9078900,78.278673
2015-07-10,75.050003,77.800003,75.00,77.309998,4983000,76.7693
2015-07-09,76.470001,77.066002,74.50,74.800003,4267100,74.27686
2015-07-08,74.300003,75.50,74.040001,75.400002,4276600,74.872662
2015-07-07,73.730003,74.709999,72.959999,74.629997,5794800,74.108043
2015-07-06,71.00,74.290001,71.00,72.959999,3809700,72.449725
